1 71
35 21
50 100
1 1 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0
1 7 0
1 8 1
1 9 0
1 10 0
1 11 0
1 12 0
1 13 0
1 14 1
1 15 1
1 16 1
1 17 0
1 18 0
1 19 0
1 20 0
1 21 1
1 22 0
1 23 1
1 24 1
1 25 0
1 26 0
1 27 0
1 28 0
1 29 1
1 30 0
1 31 0
1 32 0
1 33 0
1 34 0
1 35 0
1 36 0
1 37 1
1 38 0
1 39 0
1 40 1
1 41 0
1 42 1
1 43 0
1 44 0
1 45 0
1 46 0
1 47 1
1 48 0
1 49 0
1 50 1
1 51 1
1 52 0
1 53 0
1 54 0
1 55 1
1 56 0
1 57 1
1 58 0
1 59 0
1 60 0
1 61 0
1 62 0
1 63 0
1 64 0
1 65 0
1 66 0
1 67 0
1 68 0
1 69 0
1 70 0
1 71 0
1 72 0
1 73 0
1 74 0
1 75 0
1 76 0
1 77 0
1 78 0
1 79 0
1 80 1
1 81 0
1 82 0
1 83 0
1 84 0
1 85 1
1 86 0
1 87 0
1 88 0
1 89 0
1 90 1
1 91 0
1 92 0
1 93 0
1 94 0
1 95 0
1 96 0
1 97 1
1 98 0
1 99 0
1 100 0
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 0
2 11 0
2 12 0
2 13 0
2 14 0
2 15 0
2 16 0
2 17 0
2 18 0
2 19 0
2 20 0
2 21 0
2 22 0
2 23 0
2 24 0
2 25 0
2 26 0
2 27 0
2 28 1
2 29 1
2 30 0
2 31 1
2 32 0
2 33 0
2 34 0
2 35 0
2 36 0
2 37 0
2 38 0
2 39 1
2 40 0
2 41 0
2 42 0
2 43 1
2 44 1
2 45 1
2 46 0
2 47 0
2 48 0
2 49 0
2 50 0
2 51 0
2 52 0
2 53 0
2 54 0
2 55 1
2 56 0
2 57 0
2 58 0
2 59 0
2 60 1
2 61 0
2 62 0
2 63 1
2 64 0
2 65 0
2 66 0
2 67 1
2 68 0
2 69 0
2 70 1
2 71 1
2 72 0
2 73 0
2 74 0
2 75 0
2 76 0
2 77 0
2 78 0
2 79 1
2 80 1
2 81 0
2 82 0
2 83 1
2 84 0
2 85 0
2 86 0
2 87 0
2 88 0
2 89 0
2 90 0
2 91 0
2 92 1
2 93 0
2 94 0
2 95 0
2 96 0
2 97 0
2 98 0
2 99 0
2 100 0
3 1 0
3 2 1
3 3 0
3 4 0
3 5 0
3 6 0
3 7 0
3 8 0
3 9 0
3 10 0
3 11 0
3 12 0
3 13 0
3 14 0
3 15 1
3 16 0
3 17 0
3 18 0
3 19 0
3 20 0
3 21 1
3 22 0
3 23 0
3 24 0
3 25 0
3 26 0
3 27 0
3 28 0
3 29 1
3 30 0
3 31 0
3 32 0
3 33 1
3 34 1
3 35 0
3 36 0
3 37 0
3 38 0
3 39 0
3 40 0
3 41 0
3 42 0
3 43 0
3 44 0
3 45 0
3 46 0
3 47 0
3 48 0
3 49 0
3 50 0
3 51 0
3 52 0
3 53 0
3 54 1
3 55 0
3 56 0
3 57 1
3 58 0
3 59 0
3 60 0
3 61 0
3 62 0
3 63 0
3 64 0
3 65 0
3 66 0
3 67 1
3 68 0
3 69 1
3 70 1
3 71 0
3 72 0
3 73 0
3 74 0
3 75 0
3 76 0
3 77 1
3 78 0
3 79 0
3 80 0
3 81 0
3 82 0
3 83 1
3 84 0
3 85 0
3 86 0
3 87 0
3 88 0
3 89 1
3 90 0
3 91 0
3 92 0
3 93 0
3 94 0
3 95 0
3 96 0
3 97 0
3 98 1
3 99 0
3 100 0
4 1 0
4 2 0
4 3 0
4 4 0
4 5 1
4 6 1
4 7 1
4 8 0
4 9 0
4 10 0
4 11 0
4 12 0
4 13 0
4 14 1
4 15 0
4 16 0
4 17 1
4 18 0
4 19 1
4 20 0
4 21 0
4 22 0
4 23 0
4 24 0
4 25 0
4 26 0
4 27 0
4 28 0
4 29 1
4 30 0
4 31 0
4 32 0
4 33 0
4 34 0
4 35 0
4 36 0
4 37 1
4 38 0
4 39 1
4 40 0
4 41 0
4 42 1
4 43 0
4 44 1
4 45 1
4 46 0
4 47 0
4 48 0
4 49 1
4 50 0
4 51 0
4 52 0
4 53 1
4 54 1
4 55 0
4 56 0
4 57 0
4 58 0
4 59 0
4 60 0
4 61 0
4 62 0
4 63 0
4 64 0
4 65 0
4 66 1
4 67 0
4 68 0
4 69 0
4 70 0
4 71 0
4 72 1
4 73 1
4 74 1
4 75 0
4 76 0
4 77 0
4 78 0
4 79 0
4 80 0
4 81 1
4 82 0
4 83 0
4 84 0
4 85 0
4 86 1
4 87 0
4 88 0
4 89 0
4 90 0
4 91 0
4 92 0
4 93 0
4 94 0
4 95 0
4 96 0
4 97 0
4 98 0
4 99 0
4 100 0
5 1 0
5 2 1
5 3 1
5 4 0
5 5 0
5 6 0
5 7 0
5 8 0
5 9 0
5 10 0
5 11 0
5 12 0
5 13 1
5 14 0
5 15 0
5 16 0
5 17 0
5 18 1
5 19 1
5 20 1
5 21 0
5 22 0
5 23 0
5 24 0
5 25 0
5 26 0
5 27 0
5 28 0
5 29 0
5 30 0
5 31 1
5 32 0
5 33 0
5 34 0
5 35 1
5 36 0
5 37 0
5 38 0
5 39 0
5 40 0
5 41 0
5 42 0
5 43 1
5 44 0
5 45 0
5 46 0
5 47 0
5 48 1
5 49 0
5 50 0
5 51 0
5 52 0
5 53 0
5 54 0
5 55 1
5 56 0
5 57 0
5 58 0
5 59 0
5 60 0
5 61 0
5 62 0
5 63 0
5 64 0
5 65 1
5 66 0
5 67 0
5 68 1
5 69 0
5 70 0
5 71 0
5 72 0
5 73 0
5 74 0
5 75 1
5 76 0
5 77 0
5 78 0
5 79 1
5 80 0
5 81 0
5 82 0
5 83 1
5 84 0
5 85 0
5 86 0
5 87 0
5 88 0
5 89 0
5 90 0
5 91 1
5 92 1
5 93 1
5 94 0
5 95 0
5 96 1
5 97 1
5 98 0
5 99 0
5 100 0
6 1 0
6 2 0
6 3 0
6 4 0
6 5 1
6 6 0
6 7 0
6 8 0
6 9 1
6 10 0
6 11 0
6 12 0
6 13 0
6 14 0
6 15 0
6 16 0
6 17 0
6 18 0
6 19 1
6 20 0
6 21 1
6 22 0
6 23 0
6 24 0
6 25 0
6 26 0
6 27 0
6 28 0
6 29 0
6 30 0
6 31 0
6 32 0
6 33 0
6 34 0
6 35 0
6 36 0
6 37 1
6 38 0
6 39 0
6 40 0
6 41 0
6 42 1
6 43 0
6 44 0
6 45 0
6 46 1
6 47 0
6 48 1
6 49 0
6 50 0
6 51 0
6 52 0
6 53 0
6 54 0
6 55 1
6 56 0
6 57 0
6 58 0
6 59 0
6 60 0
6 61 0
6 62 1
6 63 1
6 64 0
6 65 0
6 66 0
6 67 1
6 68 0
6 69 0
6 70 0
6 71 0
6 72 0
6 73 1
6 74 0
6 75 0
6 76 0
6 77 0
6 78 0
6 79 0
6 80 0
6 81 0
6 82 0
6 83 0
6 84 0
6 85 0
6 86 0
6 87 0
6 88 1
6 89 0
6 90 0
6 91 0
6 92 0
6 93 0
6 94 0
6 95 0
6 96 0
6 97 1
6 98 0
6 99 0
6 100 0
7 1 1
7 2 0
7 3 0
7 4 0
7 5 0
7 6 1
7 7 0
7 8 1
7 9 0
7 10 0
7 11 0
7 12 0
7 13 0
7 14 1
7 15 0
7 16 0
7 17 0
7 18 1
7 19 0
7 20 1
7 21 0
7 22 1
7 23 0
7 24 0
7 25 0
7 26 0
7 27 0
7 28 0
7 29 0
7 30 0
7 31 0
7 32 0
7 33 1
7 34 0
7 35 0
7 36 0
7 37 0
7 38 0
7 39 0
7 40 0
7 41 1
7 42 0
7 43 1
7 44 0
7 45 0
7 46 0
7 47 0
7 48 0
7 49 0
7 50 0
7 51 0
7 52 0
7 53 0
7 54 0
7 55 1
7 56 1
7 57 0
7 58 0
7 59 0
7 60 0
7 61 0
7 62 1
7 63 0
7 64 0
7 65 1
7 66 0
7 67 0
7 68 0
7 69 0
7 70 0
7 71 0
7 72 0
7 73 0
7 74 1
7 75 0
7 76 1
7 77 0
7 78 0
7 79 0
7 80 0
7 81 0
7 82 1
7 83 0
7 84 0
7 85 0
7 86 0
7 87 0
7 88 0
7 89 0
7 90 0
7 91 1
7 92 0
7 93 1
7 94 0
7 95 0
7 96 1
7 97 0
7 98 1
7 99 1
7 100 0
8 1 0
8 2 0
8 3 1
8 4 0
8 5 0
8 6 0
8 7 0
8 8 0
8 9 0
8 10 0
8 11 0
8 12 0
8 13 0
8 14 0
8 15 0
8 16 0
8 17 1
8 18 0
8 19 0
8 20 0
8 21 0
8 22 0
8 23 0
8 24 0
8 25 0
8 26 0
8 27 1
8 28 0
8 29 0
8 30 0
8 31 0
8 32 0
8 33 0
8 34 0
8 35 1
8 36 1
8 37 0
8 38 0
8 39 1
8 40 0
8 41 0
8 42 0
8 43 0
8 44 0
8 45 1
8 46 0
8 47 0
8 48 0
8 49 0
8 50 1
8 51 1
8 52 0
8 53 0
8 54 0
8 55 1
8 56 1
8 57 0
8 58 0
8 59 0
8 60 0
8 61 1
8 62 1
8 63 0
8 64 0
8 65 0
8 66 0
8 67 1
8 68 1
8 69 0
8 70 0
8 71 1
8 72 0
8 73 1
8 74 0
8 75 0
8 76 0
8 77 0
8 78 0
8 79 1
8 80 0
8 81 0
8 82 1
8 83 0
8 84 0
8 85 0
8 86 1
8 87 1
8 88 0
8 89 0
8 90 0
8 91 0
8 92 0
8 93 0
8 94 1
8 95 0
8 96 0
8 97 0
8 98 0
8 99 1
8 100 0
9 1 1
9 2 0
9 3 1
9 4 0
9 5 0
9 6 0
9 7 0
9 8 0
9 9 0
9 10 0
9 11 0
9 12 0
9 13 0
9 14 0
9 15 0
9 16 0
9 17 0
9 18 0
9 19 1
9 20 0
9 21 0
9 22 0
9 23 0
9 24 0
9 25 0
9 26 0
9 27 0
9 28 0
9 29 0
9 30 1
9 31 0
9 32 0
9 33 0
9 34 0
9 35 0
9 36 0
9 37 0
9 38 1
9 39 1
9 40 0
9 41 0
9 42 0
9 43 0
9 44 1
9 45 0
9 46 0
9 47 0
9 48 1
9 49 0
9 50 0
9 51 0
9 52 0
9 53 0
9 54 0
9 55 0
9 56 0
9 57 1
9 58 0
9 59 0
9 60 0
9 61 1
9 62 0
9 63 0
9 64 0
9 65 0
9 66 1
9 67 0
9 68 0
9 69 1
9 70 1
9 71 0
9 72 0
9 73 0
9 74 0
9 75 0
9 76 1
9 77 0
9 78 0
9 79 0
9 80 0
9 81 0
9 82 0
9 83 0
9 84 0
9 85 0
